pid,category name,Brand,Title,Rating,number reviews,URL,Price,Currency
9200000065666274,Audio & Hifi,Apple,Apple EarPods met lightning aansluiting,3.6,1351,/nl/nl/p/apple-earpods-met-lightning-aansluiting/9200000065666274/,21.95,€
9200000094187793,Audio & Hifi,Cartronix,1Din autoradio \xe2\x80\x93 met navigatie \xe2\x80\x93 Klapscherm \xe2\x80\x93 Gratis Camera \xe2\x80\x93 Bluetooth \xe2\x80\x93 CD \xe2\x80\x93 DVD \xe2\x80\x93 Gesch,3.0,2,/nl/nl/p/1din-autoradio-met-navigatie-klapscherm-gratis-camera-bluetooth-cd-dvd-gesch/9200000094187793/,249.99,€
9200000089255477,Audio & Hifi,Cartronix,Autoradio klapscherm 1 din met navigatie multimedia - Radio - Navigatie - Gratis Camera -,4.3,12,/nl/nl/p/autoradio-klapscherm-1-din-met-navigatie-multimedia-radio-navigatie-gratis-camera/9200000089255477/,249.99,€
9200000064299124,Audio & Hifi,JBL,JBL T210 - In-Ear oordopjes - Zwart,4.1,782,/nl/nl/p/jbl-t210-in-ear-oordopjes-zwart/9200000064299124/,17.95,€
9200000108340791,Audio & Hifi,Apple,Apple AirPods 2 - met reguliere oplaadcase,4.7,1373,/nl/nl/p/apple-airpods-2-met-reguliere-oplaadcase/9200000108340791/,139.95,€
9200000075472002,Audio & Hifi,Apple,"Apple EarPods met 3,5mm headphone jack (koptelefoonaansluiting)",3.6,1351,/nl/nl/p/apple-earpods-met-3-5mm-headphone-jack/9200000075472002/,12.99,€
9200000123229147,Audio & Hifi,Apple,Apple AirPods Pro met reguliere opbergcase - 2019 versie,4.5,599,/nl/nl/p/apple-airpods-pro-met-reguliere-opbergcase-2019-versie/9200000123229147/,219.95,€
9300000035359740,Audio & Hifi,Google Nest,Google Nest Hub (2e generatie) - Charcoal,4.6,127,/nl/nl/p/google-nest-hub-charcoal/9300000035359740/,81.0,€
9300000061463567,Audio & Hifi,Apple,Apple AirPods Pro met MagSafe-opbergcase,4.5,599,/nl/nl/p/apple-airpods-pro-met-magsafe-opbergcase/9300000061463567/,224.95,€
9200000096401054,Audio & Hifi,Sony,Sony WH-1000XM3 - Draadloze over-ear koptelefoon met Noise Cancelling - Zwart,4.7,608,/nl/nl/p/sony-wh-1000xm3-draadloze-over-ear-koptelefoon-met-noise-cancelling-zwart/9200000096401054/,189.0,€
9200000126666901,Audio & Hifi,JBL,JBL Tune 500BT - Draadloze on-ear koptelefoon - Zwart,4.4,788,/nl/nl/p/jbl-tune-500bt-draadloze-on-ear-koptelefoon-zwart/9200000126666901/,45.0,€
9200000119853679,Audio & Hifi,Google Nest,Google Nest Mini - Smart Speaker / Zwart / Nederlandstalig,4.6,654,/nl/nl/p/google-nest-mini-smart-speaker-zwart-nederlandstalig/9200000119853679/,36.19,€
9200000119853681,Audio & Hifi,Google Nest,Google Nest Mini - Smart Speaker / Grijs / Nederlandstalig,4.6,654,/nl/nl/p/google-nest-mini-smart-speaker-grijs-nederlandstalig/9200000119853681/,36.95,€
9300000021550299,Audio & Hifi,Jabra,Jabra Elite 85t - Volledig draadloze in-ear oordopjes met Noise Cancelling - Goud Beige,4.5,22,/nl/nl/p/jabra-elite-85t-volledig-draadloze-in-ear-oordopjes-met-noise-cancelling-goud-beige/9300000021550299/,169.0,€
9300000003020897,Audio & Hifi,RYTMZ\xc2\xae,RYTMZ Handpan Drum | 28 cm | Koper | Meditatie | Klanktherapie | Sound Healing | Handpan | Steel tongue drum | Goud,4.4,29,/nl/nl/p/rytmz-handpan-drum-28-cm-koper-meditatie-klanktherapie-sound-healing-handpan-steel-tongue-drum-goud/9300000003020897/,157.0,€
9200000108639206,Audio & Hifi,JBL,JBL Flip 5 Zwart - Draagbare Bluetooth Speaker,4.6,319,/nl/nl/p/jbl-flip-5-zwart-draagbare-bluetooth-speaker/9200000108639206/,99.0,€
9300000012296163,Audio & Hifi,Google Nest,Google Nest Audio - Charcoal,4.7,256,/nl/nl/p/google-nest-audio-charcoal/9300000012296163/,97.0,€
9300000060466139,Audio & Hifi,Apple,Apple AirPods 3,4.1,9,/nl/nl/p/apple-airpods-3/9300000060466139/,189.95,€
9300000003044076,Audio & Hifi,JBL,JBL Tune 225TWS Zwart - Volledig draadloze oordopjes,3.5,157,/nl/nl/p/jbl-tune-225tws-zwart-volledig-draadloze-oordopjes/9300000003044076/,79.99,€
9300000035495317,Audio & Hifi,Google Nest,Google Nest Hub (2e generatie) - Chalk,4.6,127,/nl/nl/p/google-nest-hub-chalk/9300000035495317/,76.99,€
9200000121983823,Audio & Hifi,JBL,JBL Tune 750BTNC - Over-ear koptelefoon met Noise Cancelling - Zwart,4.2,145,/nl/nl/p/jbl-tune-750btnc-over-ear-koptelefoon-met-noise-cancelling-zwart/9200000121983823/,87.99,€
9300000001023970,Audio & Hifi,Wegman,Wegman Bluetooth FM Transmitter - Autolader - Bluetooth Carkit,4.8,711,/nl/nl/p/wegman-bluetooth-fm-transmitter-autolader-bluetooth-carkit/9300000001023970/,24.95,€
9200000124865269,Audio & Hifi,DistinQ,DistinQ Wake-Up Light \xe2\x80\x93 Wekkerradio met dubbele wektijd \xe2\x80\x93 Slaaphulp met USB aansluiting,4.4,154,/nl/nl/p/distinq-wake-up-light-wekkerradio-met-dubbele-wektijd-slaaphulp-met-usb-aansluiting/9200000124865269/,44.99,€
9300000021875077,Audio & Hifi,Samsung,Samsung Galaxy Buds Pro - Noise Cancelling - Zwart,4.2,88,/nl/nl/p/samsung-galaxy-buds-pro-noise-cancelling-zwart/9300000021875077/,139.0,€
9300000003044064,Audio & Hifi,JBL,JBL Tune 125TWS Zwart - Volledig draadloze oordopjes,3.9,92,/nl/nl/p/jbl-tune-125tws-zwart-volledig-draadloze-oordopjes/9300000003044064/,69.95,€
9200000130079242,Audio & Hifi,Philips,"Philips TAEP200 - DVD-speler (2000 series) met CD-ondersteuning (geschikt voor DivX Ultra, MPEG1, MPEG2, MPEG4) en HDMI - Zwart",4.4,222,/nl/nl/p/philips-taep200-dvd-speler-met-cd-ondersteuning-en-hdmi-zwart/9200000130079242/,39.95,€
9300000060864501,Audio & Hifi,Hoco,Draadloze Oordopjes - Alternatief EarPods - Bluetooth 5.1 - Voor Apple & Android,4.0,8,/nl/nl/p/draadloze-oordopjes-alternatief-earpods-bluetooth-5-1-voor-apple-android/9300000060864501/,39.99,€
9200000098045179,Audio & Hifi,JBL,JBL Tune 500 - On-ear koptelefoon - Zwart,4.3,140,/nl/nl/p/jbl-tune-500-on-ear-koptelefoon-zwart/9200000098045179/,23.29,€
9300000009221723,Audio & Hifi,OneConcept,"oneConcept Streamo Chef keukenradio & CD-speler , Bluetooth , 2,4"" HCC display .  ontvangst van meer dan 14.000 radiostations wereldwijd via WiFi",0.0,0,/nl/nl/p/oneconcept-streamo-chef-keukenradio-cd-speler-bluetooth-2-4-hcc-display-ontvangst-van-meer-dan-14-000-radiostations-wereldwijd-via-wifi/9300000009221723/,84.99,€
